YearRemodAdd,YearBuilt,TotRmsAbvGrd,FullBath,1stFlrSF,GarageArea,TotalBsmtSF,GarageCars,2ndFlrSF,GrLivArea,OverallQual,SalePrice
2000,1999,7,2,1004,660,1004,3,848,1852,8,230000
1997,1997,7,2,928,470,928,2,836,1764,6,231500
1971,1971,5,1,864,0,864,0,0,864,4,115000
2005,2005,7,2,1734,660,1734,2,0,1734,7,260000
1952,1952,6,2,910,720,910,2,475,1385,5,166000
1999,1999,6,2,1501,577,1490,2,0,1501,7,204000
1963,1963,10,2,1728,504,1728,2,0,1728,5,125000
2006,2004,7,2,970,380,970,2,739,1709,6,130000
1993,1931,5,1,875,180,715,1,0,875,5,105000
2001,2001,8,2,884,434,884,2,1151,2035,7,222500
2005,2004,6,1,1080,0,1080,0,0,1080,7,141000
1950,1936,7,1,896,240,896,1,448,1344,5,115000
1975,1975,5,1,969,440,969,2,0,969,5,122000
2008,2007,6,2,1710,866,1710,3,0,1710,8,372402
1971,1971,8,2,1097,495,825,2,896,1993,6,190000
1975,1960,4,1,1252,564,1602,2,0,1252,6,235000
1950,1923,7,1,1200,312,1200,1,0,1200,6,125000
1950,1924,5,1,572,0,572,0,524,1096,6,79000
1950,1950,5,1,1040,625,0,2,0,1040,5,109500
2010,2009,8,2,774,680,774,3,1194,1968,8,269500
2005,2004,8,2,991,678,991,2,956,1947,7,254900
2006,2005,9,2,1392,576,1392,2,1070,2462,7,320000
1984,1984,6,2,1232,516,1232,2,0,1232,6,162500
2004,2003,10,2,1572,726,1572,3,1096,2668,9,412500
2005,2005,7,2,1541,532,1541,2,0,1541,7,220000
1956,1956,4,1,882,0,882,0,0,882,4,103200
2004,1926,5,2,1149,216,1149,1,467,1616,6,152000
1999,1940,6,2,808,0,644,0,547,1355,5,127500
1993,1955,7,1,1867,303,1617,1,0,1867,5,190000
2007,2007,8,1,1610,789,1582,3,551,2161,8,325624
2004,2004,7,2,840,440,840,2,880,1720,7,183500
1981,1981,6,2,1707,511,1686,2,0,1707,8,228000
1950,1941,7,1,854,660,720,2,0,1382,5,128500
1960,1960,7,1,1656,528,1080,2,0,1656,6,215000
1987,1987,5,2,1064,504,1064,2,703,1767,7,239000
1961,1961,6,1,1362,504,1362,2,0,1362,6,163000
1986,1986,7,2,1651,616,1606,2,0,1651,6,184000
2001,1950,7,2,2158,576,1202,2,0,2158,6,243000
1989,1988,8,2,1164,521,1151,2,896,2060,6,211000
1958,1958,8,2,1252,451,1052,2,668,1920,5,172500
2009,2008,9,2,2234,1166,2216,3,0,2234,9,501837
2006,1923,5,1,968,480,968,2,0,968,5,100000
2000,2000,5,2,769,440,756,2,756,1525,6,177000
1950,1920,9,1,901,216,793,1,901,1802,7,200100
2006,1957,7,1,1340,252,0,1,0,1340,5,120000
2003,2003,6,2,1362,484,1362,2,720,2082,7,200000
1991,1908,5,1,936,576,504,2,316,1252,5,127000
1993,1892,12,2,1518,840,1107,3,1518,3608,10,475000
1991,1990,6,2,1217,497,1188,2,0,1217,7,173000
1987,1916,8,2,808,180,660,1,704,1656,5,135000
1979,1979,6,0,1224,528,1086,2,0,1224,5,153337
2002,2001,5,1,1593,682,1593,2,0,1593,8,286000
1994,1932,10,2,1549,440,853,2,1178,2727,8,315000
2004,1972,7,1,725,484,725,2,754,1479,7,184000
1999,1999,6,2,1431,666,1431,2,0,1431,7,192000
2004,2004,7,2,970,380,970,2,739,1709,7,130000
1972,1972,5,1,864,352,864,1,0,864,5,127000
1976,1976,7,2,855,440,855,2,601,1456,6,148500
2007,2007,8,2,1726,786,1726,3,0,1726,7,311872
1990,1918,8,2,1360,795,1360,2,1360,3112,8,235000
1950,1912,8,1,929,0,755,0,929,2229,6,104000
2005,2004,7,2,1713,856,1713,3,0,1713,8,274900
2004,2003,5,2,1121,440,1121,2,0,1121,4,140000
1977,1977,6,2,1279,473,1196,2,0,1279,6,171500
1950,1924,6,2,865,398,617,1,445,1310,6,112000
2004,2004,3,1,848,420,848,2,0,848,6,149000
1950,1947,5,1,720,240,720,1,564,1284,5,110000
1990,1990,5,2,1442,500,1424,2,0,1442,7,180500
1962,1962,8,1,1696,349,1140,1,0,1696,5,143900
1960,1960,6,1,1100,312,1100,1,0,1100,4,141000
1989,1988,7,2,1180,454,1157,2,882,2062,7,277000
1964,1964,6,1,1092,504,1092,2,0,1092,6,145000
1950,1925,5,1,864,0,864,0,0,864,5,98000
2009,2009,6,2,1212,460,1212,2,0,1212,6,186000
2009,2009,7,2,932,644,900,2,920,1852,7,252678
1995,1995,5,1,990,576,990,2,0,990,5,156000
1977,1977,6,1,689,299,689,1,703,1392,6,161750
1996,1957,6,1,1236,447,1070,1,0,1236,5,134450
2004,2004,8,2,1436,484,1436,2,0,1436,7,210000
1950,1925,8,1,810,210,686,1,518,1328,4,107000
2006,1939,8,1,1137,431,798,2,817,1954,7,311500
2006,2005,5,2,1248,438,1248,2,0,1248,7,167240
2006,2006,5,2,1498,675,1498,2,0,1498,7,204900
2002,2002,8,2,1010,390,1010,2,1257,2267,6,200000
1975,1975,6,2,811,434,713,2,741,1552,6,179900
1971,1971,4,1,864,576,864,2,0,864,4,97000
2003,2003,8,2,2392,968,2392,3,0,2392,10,386250
1971,1971,6,2,630,280,630,1,672,1302,5,112000
1995,1995,9,2,1214,721,1203,3,1306,2520,7,290000
1970,1970,5,1,483,280,483,1,504,987,6,106000
1967,1967,5,1,912,336,912,1,0,912,5,125000
2006,2005,7,2,1555,430,1373,2,0,1555,7,192500
1959,1959,6,1,1194,312,1194,1,0,1194,6,148000
1996,1995,9,2,1490,810,1462,3,1304,2794,8,403000
1972,1972,5,1,483,288,483,1,504,987,6,94500
1976,1976,5,1,894,308,894,1,0,894,5,128200
2002,2002,8,2,860,440,860,2,1100,1960,6,216500
1971,1971,5,1,483,264,483,1,504,987,6,89500
2004,2004,6,2,1414,494,1414,2,0,1414,7,185500
2003,1993,7,2,1014,457,996,2,730,1744,7,194500
2007,2007,7,2,1694,818,1694,3,0,1694,8,318000
1950,1945,7,1,798,220,735,1,689,1487,6,113000
2008,2008,7,2,1566,750,1566,2,0,1566,8,262500
1997,1945,4,1,866,0,686,0,0,866,5,110500
1950,1900,6,1,889,352,540,1,551,1440,5,79000
1980,1980,6,1,626,288,626,1,591,1217,6,120000
2002,1994,8,2,1222,463,948,2,888,2110,7,205000
1988,1988,6,2,1872,604,1845,2,0,1872,7,241500
1950,1910,9,2,908,440,1020,1,1020,1928,6,137000
1954,1954,5,1,1375,451,1367,2,0,1375,6,140000
2003,2003,8,2,840,500,840,2,828,1668,7,180000
2006,1958,7,2,1444,389,1444,2,700,2144,6,277000
1966,1940,6,1,1306,0,728,0,0,1306,3,76500
2007,2006,5,2,1625,538,1573,2,0,1625,8,235000
2004,2004,6,2,798,520,798,2,842,1640,6,173000
1991,1964,7,2,1302,309,1302,1,0,1302,6,158000
1957,1957,5,1,1314,294,1314,1,0,1314,5,145000
1999,1999,8,2,1005,429,975,2,1286,2291,7,230000
2003,2003,7,2,864,673,864,2,864,1728,6,207500
2006,2006,8,2,1604,660,1604,2,0,1604,7,220000
2001,2001,7,2,963,564,963,2,829,1792,7,231500
1956,1956,4,1,882,308,0,1,0,882,5,97000
1962,1962,6,1,1382,884,1362,2,0,1382,6,176000
2007,2007,10,2,1482,868,1482,3,1092,2574,8,276000
1995,1977,6,1,1212,492,506,2,0,1212,6,151000
2001,1929,6,1,926,484,926,2,0,1316,5,130000
2004,1925,4,1,764,504,680,2,0,764,5,73000
1981,1981,7,2,1422,576,1422,2,0,1422,6,175500
1997,1997,8,2,802,413,802,2,709,1511,6,185000
1997,1939,8,2,1052,240,720,1,720,2192,5,179500
1955,1940,4,1,778,924,740,1,0,778,5,120500
1976,1976,6,1,1113,504,1143,1,0,1113,6,148000
2006,2006,8,2,1095,1053,1095,3,844,1939,8,266000
2005,1954,5,1,1363,439,1385,2,0,1363,7,241500
2007,1999,9,2,1164,671,1152,3,1106,2270,8,290000
1988,1958,6,2,1632,338,1240,1,0,1632,6,139000
1982,1982,5,1,816,264,816,1,0,816,5,124500
2007,1925,5,2,952,672,952,2,596,1548,7,205000
2003,2003,7,2,1560,573,1560,2,0,1560,7,201000
1951,1951,4,1,864,400,864,2,0,864,4,141000
2007,2006,8,2,2121,732,2121,3,0,2121,9,415298
1977,1977,8,2,1156,505,1160,2,866,2022,7,192000
1989,1989,7,2,1175,575,807,2,807,1982,7,228500
2006,2006,5,2,1262,572,1262,2,0,1262,6,185000
2008,2007,6,2,1314,626,1314,2,0,1314,7,207500
2009,2008,6,2,1468,898,1468,3,0,1468,8,244600
1992,1992,5,2,1575,529,1575,2,0,1575,6,179200
2007,2006,5,2,625,528,625,2,625,1250,7,164700
1981,1962,7,1,1085,440,912,2,649,1734,6,159000
1971,1971,5,1,858,0,858,0,0,858,4,88000
1967,1967,5,1,900,280,882,1,0,900,5,122000
2003,1915,7,1,698,384,698,1,698,1396,6,153575
2006,2006,8,2,1079,685,1079,2,840,1919,8,233230
2000,1912,9,2,936,0,780,0,780,1716,5,135900
2008,1949,8,1,1148,281,768,1,568,1716,5,131000
1994,1977,9,2,1468,539,795,2,795,2263,7,235000
1953,1953,7,1,1644,418,1416,2,0,1644,6,167000
1984,1984,6,1,1003,588,1003,2,0,1003,6,142500
1950,1950,6,1,910,282,910,1,648,1558,5,152000
1998,1997,7,2,975,576,975,2,975,1950,7,239000
1968,1968,7,1,1041,539,702,2,702,1743,6,175000
2004,1950,6,1,1152,300,1092,1,0,1152,6,158500
1953,1953,5,1,1336,375,1165,1,0,1336,5,157000
1999,1998,9,2,1210,683,1028,2,1242,2452,8,267000
2002,2001,6,2,1541,843,1541,3,0,1541,7,205000
1972,1972,5,1,894,552,894,2,0,894,5,149900
2002,1880,10,3,1675,870,1470,3,1818,3493,7,295000
2005,2004,8,2,2000,888,2000,3,0,2000,8,305900
1991,1990,8,2,1122,746,700,3,1121,2243,7,225000
1950,1920,6,1,1035,0,319,0,371,1406,6,89500
1950,1940,4,1,861,539,861,2,0,861,4,82500
2004,2003,8,2,1944,708,1896,3,0,1944,9,360000
1994,1993,6,2,697,420,697,2,804,1501,6,165600
2002,1948,5,1,972,240,972,1,0,972,6,132000
1950,1939,5,1,793,410,793,2,325,1118,5,119900
1965,1965,8,2,2036,513,2136,2,0,2036,7,375000
1990,1925,6,1,832,546,728,2,809,1641,7,178000
2005,2004,6,2,716,432,716,2,716,1432,7,188500
1980,1980,10,2,1153,484,845,2,1200,2353,7,260000
2006,2006,8,2,1088,1025,1088,3,871,1959,8,270000
1993,1993,9,2,1372,656,1347,3,1274,2646,7,260000
1980,1980,6,2,1472,588,1372,2,0,1472,7,187500
2006,2006,9,3,1249,840,1249,3,1347,2596,9,342643
2004,2004,10,2,1136,872,1136,3,1332,2468,8,354000
1987,1986,8,2,1553,576,1502,2,1177,2730,7,301000
2005,1955,6,1,1163,220,1162,1,0,1163,3,126175
2007,1967,11,2,1898,564,710,2,1080,2978,7,242000
1950,1941,5,1,803,360,720,2,0,803,5,87000
1993,1993,6,1,1719,473,1719,2,0,1719,8,324000
1960,1960,7,1,1383,292,1383,1,0,1383,6,145250
1994,1916,10,2,1445,441,844,2,689,2134,6,214500
1950,1920,6,1,596,189,596,1,596,1192,5,78000
1964,1964,10,2,1728,352,1728,1,0,1728,5,119000
1992,1958,6,1,1056,308,1056,1,0,1056,5,139000
2004,2003,7,2,1629,880,3206,3,0,1629,8,284000
2004,2004,6,2,1358,484,1358,2,0,1358,7,207000
1998,1998,7,2,943,472,943,2,695,1638,6,192000
1965,1965,7,2,1619,529,1499,2,167,1786,5,228950
2006,2005,8,2,1922,676,1922,3,0,1922,9,377426
2003,2002,7,2,1536,532,1536,2,0,1536,7,214000
1998,1984,8,2,1621,440,1208,2,0,1621,7,202500
1998,1958,6,1,1215,297,1215,1,0,1215,6,155000
2002,2002,9,2,993,431,967,2,915,1908,8,202900
1950,1950,4,1,841,294,721,1,0,841,4,82000
1950,1949,6,2,1040,400,0,2,0,1040,3,87500
2005,2005,6,2,1684,564,1684,2,0,1684,9,266000
1976,1976,4,1,536,336,536,1,576,1112,5,85000
1950,1939,6,1,972,312,972,1,605,1577,6,140200
1998,1960,5,1,958,301,958,1,0,958,6,151500
1960,1960,6,2,1478,498,1478,2,0,1478,6,157500
2004,2003,6,2,764,474,764,2,862,1626,7,154000
2006,2005,10,2,1848,706,1848,3,880,2728,9,437154
2007,2007,6,2,1869,617,1869,2,0,1869,9,318061
1986,1986,6,1,1453,445,1453,2,0,1453,7,190000
1950,1941,5,1,616,200,616,1,495,1111,5,95000
2003,1928,5,1,720,484,624,2,0,720,6,105900
2000,1940,6,1,1192,240,940,1,403,1595,6,140000
1995,1995,6,2,1200,521,1200,2,0,1200,6,177500
1992,1992,6,2,1167,400,1158,2,0,1167,6,173000
1976,1976,6,1,1142,528,1142,2,0,1142,5,134000
1958,1958,6,1,1352,288,1062,1,0,1352,5,130000
1998,1998,7,2,1086,592,1086,2,838,1924,8,280000
1978,1978,5,1,912,470,888,2,0,912,6,156000
1982,1940,8,1,988,240,883,1,517,1505,5,145000
2003,2003,7,3,495,672,0,2,1427,1922,7,198500
2007,1972,5,1,483,264,483,1,504,987,6,118000
1976,1976,6,2,790,566,796,2,784,1574,6,190000
1997,1920,6,1,672,468,672,1,672,1344,5,147000
1963,1963,6,1,1394,514,1394,2,0,1394,6,159000
1962,1962,6,1,1431,296,1099,1,0,1431,6,165000
1954,1954,7,1,1268,244,1268,1,0,1268,5,132000
2006,1959,7,1,1287,576,1063,2,0,1287,5,162000
2000,2000,7,2,953,460,953,2,711,1664,6,172400
1959,1959,7,2,1120,680,0,2,468,1588,4,134432
1984,1984,4,1,752,264,744,1,0,752,6,125000
1953,1953,5,1,1319,270,608,1,0,1319,5,123000
2004,2003,8,2,847,434,847,2,1081,1928,7,219500
1950,1922,4,0,904,0,683,0,0,904,1,61000
1996,1996,5,1,914,576,870,2,0,914,5,148000
2005,2004,8,3,1580,610,1580,2,886,2466,8,340000
2010,2010,8,1,1856,834,1856,3,0,1856,9,394432
2000,2000,7,2,1007,463,982,2,793,1800,6,179000
1950,1924,6,2,1026,308,1026,1,665,1691,5,127000
2006,2006,5,2,1301,572,1293,2,0,1301,7,187750
2006,2006,8,2,939,639,939,2,858,1797,7,213500
1950,1928,5,1,784,360,784,2,0,784,6,76000
1992,1992,9,2,1079,501,1580,2,874,1953,6,240000
2005,2004,6,2,1269,430,1256,2,0,1269,8,192000
1996,1910,8,1,658,0,658,0,526,1184,5,81000
1976,1976,6,1,1125,352,1041,1,0,1125,6,125000
2000,1999,6,2,1479,577,1468,2,0,1479,7,191000
2008,2007,9,2,1742,846,1682,3,590,2332,10,426000
1950,1900,7,1,961,384,861,1,406,1367,5,119000
2002,2001,7,2,804,560,804,2,1157,1961,6,215000
1959,1959,5,1,882,294,0,1,0,882,5,106500
1950,1941,4,1,788,0,788,0,0,788,4,100000
1950,1940,5,1,735,240,735,1,299,1034,5,109000
1956,1956,6,1,1144,596,1144,1,0,1144,5,129000
1972,1972,6,1,894,600,894,2,0,894,5,123000
1962,1962,8,2,876,264,864,1,936,1812,5,169500
1950,1920,6,1,1077,338,961,1,0,1077,5,67000
2007,2006,7,2,1112,438,1092,2,438,1550,7,241000
1996,1996,4,1,1288,500,1260,2,0,1288,8,245500
2005,2005,6,2,1310,400,1310,2,0,1310,7,164990
1997,1940,4,1,672,240,672,1,0,672,5,108000
1998,1998,10,2,1165,420,1141,2,1098,2263,8,258000
1996,1995,7,2,806,373,806,2,766,1572,6,168000
1993,1976,8,2,1620,490,1281,2,0,1620,4,150000
1950,1936,6,1,1166,240,1064,1,0,1639,6,115000
1976,1915,8,2,840,308,840,1,840,1680,6,177000
2006,2006,9,2,1071,947,1063,3,1101,2172,7,280000
2008,2007,8,2,1050,836,1034,3,1028,2078,8,339750
1958,1958,5,1,1276,350,1276,1,0,1276,5,60000
1955,1955,5,1,1056,572,1056,2,0,1056,5,145000
2009,2009,7,2,1478,484,1470,2,0,1478,7,222000
1950,1927,5,1,1028,360,1008,2,0,1028,5,115000
1993,1993,9,2,1080,678,1080,3,1017,2097,7,228000
2007,2007,6,2,1340,396,1340,2,0,1340,7,181134
1978,1978,6,1,672,440,672,2,728,1400,6,149500
1950,1918,10,2,1370,864,1370,3,1254,2624,6,239000
1950,1940,7,1,756,240,756,1,378,1134,5,126000
1968,1968,6,1,1056,304,1056,1,0,1056,5,142000
1998,1997,8,2,1344,784,1344,4,0,1344,7,206300
2000,1977,8,2,1602,529,1602,2,0,1602,6,215000
1954,1954,4,1,988,520,988,2,0,988,5,113000
1998,1998,8,2,1470,696,1470,3,1160,2630,8,315000
1956,1956,6,1,1196,297,1196,1,0,1196,6,139000
1992,1946,6,1,707,240,651,1,682,1389,7,135000
1989,1989,5,2,1644,569,1518,2,0,1644,7,275000
1957,1957,5,1,907,352,907,1,0,907,4,109008
2007,2007,6,2,1208,628,1208,2,0,1208,7,195400
1988,1988,6,2,1412,576,1392,2,0,1412,6,175000
1971,1971,4,1,483,264,483,1,504,987,6,85400
1998,1920,7,1,1088,0,901,0,110,1198,6,79900
1971,1971,6,1,765,440,765,2,600,1365,5,122500
1998,1997,7,2,926,470,926,2,678,1604,6,181000
1972,1972,3,1,630,0,630,0,0,630,4,81000
1996,1996,6,2,827,550,799,2,834,1661,7,212000
1950,1920,6,1,734,440,648,2,384,1118,6,116000
2004,1926,4,1,904,180,884,1,0,904,6,119000
2002,1913,4,1,694,352,440,1,0,694,5,90350
2000,1920,7,1,684,528,684,2,512,1196,6,110000
2008,2008,10,2,2402,672,3094,3,0,2402,10,555000
1955,1955,8,2,1440,0,1440,0,0,1440,4,118000
1992,1930,8,2,1128,360,1078,2,445,1573,5,162900
2007,2006,6,2,1258,648,1258,3,0,1258,7,172500
1995,1994,8,2,933,493,915,2,975,1908,7,210000
1956,1956,7,1,1689,480,1436,2,0,1689,6,127500
2002,1966,6,2,1888,578,1517,2,0,1888,6,190000
1999,1998,10,2,956,431,930,2,930,1886,7,199900
1950,1937,7,2,780,198,780,1,596,1376,6,119500
2002,1948,6,1,679,308,649,1,504,1183,3,120000
2005,1930,5,1,813,270,813,1,0,813,6,110000
1975,1975,5,2,1533,576,1533,2,0,1533,7,280000
1997,1996,7,2,888,422,872,2,868,1756,6,204000
2008,2008,6,2,786,676,768,2,804,1590,8,210000
1976,1976,8,2,1728,560,1728,2,0,1728,5,188000
1973,1973,6,1,1242,528,1242,2,0,1242,7,175500
1950,1916,7,1,624,513,624,3,720,1344,5,98000
1994,1954,6,1,1663,529,1364,2,0,1663,4,256000
1996,1925,7,1,833,228,588,1,833,1666,8,161000
1950,1950,5,1,979,352,709,1,224,1203,5,110000
2009,2009,8,2,832,552,832,2,1103,1935,8,263435
2007,1936,6,1,575,576,560,2,560,1135,7,155000
1965,1965,5,1,864,360,864,1,0,864,5,62383
1995,1934,6,1,849,240,715,1,811,1660,6,188700
1978,1978,5,2,1040,0,1040,0,0,1040,5,124000
2004,2004,6,2,1414,398,1375,2,0,1414,7,178740
1970,1970,5,1,1277,526,1277,2,0,1277,7,167000
1995,1942,7,1,888,312,728,1,756,1644,5,146500
2006,2006,7,2,1634,866,1626,3,0,1634,8,250000
1993,1993,7,2,832,506,832,2,878,1710,6,187000
1985,1985,4,1,1502,528,1488,2,0,1502,8,212000
1977,1977,8,2,1161,534,808,2,808,1969,7,190000
2005,2005,5,1,1072,525,547,2,0,1072,6,148000
2007,2006,7,2,1976,908,1976,3,0,1976,8,440000
2000,2000,6,2,1652,499,1494,2,0,1652,8,251000
